2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVBSM: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVCMLF: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.494 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVLDI: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product MSCCBRPCR250: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product BMIN: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVCHOR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product LLCH2: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.495 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product HAMSL: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product SSAND100: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CFOB: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product AVCCBBRPCR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product SALHUN: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCCHEER: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.496 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product TURKBB: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCBLD: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product PCRM: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product STHK: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product WMRUGFBCPC: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.497 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product RUGFWH: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CMIN: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product BREGARTW: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVBDI10: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product WMCWINGS: appliedRule string = 'System Default - Maintain GP%'
